Count: 637 | File: h2182.tex: | Command \item invalid in math mode.
Count: 2 | File: su4inst_7.tex: | "aligned" env expecting \end{aligned}. Instead got \end{array}\
Count: 7 | File: jks9_arxiv_v1.tex: | "enumerate" env expecting \end{enumerate}. Reached end of file.
Count: 1 | File: DominationReliability.tex: | "multline" env expecting \end{multline}. Instead got \end{remark}
Count: 4 | File: Serov2011.tex: | "eqnarray*" env expecting \end{eqnarray*}. Instead got \end{array}\
Count: 10 | File: 15685.tex: | "array" env expecting \end{array}. Reached end of file.
Count: 1 | File: G2000.tex: | "tabular" env expecting \end{tabular}. Instead got \end{figure}
Count: 1 | File: MechPropGraphene_v3_062410.tex: | maximum recursion depth exceeded while calling a Python object
Count: 1 | File: New_Entanglement_Monotones....Arxiv.tex: | "document" env expecting \end{document}. Instead got \end{smallmatrix}\
Count: 6 | File: dougherty_sean_evla.tex: | "quotation" env expecting \end{quotation}. Instead got \end{document}
Count: 1 | File: ICG_paper.tex: | "cases" env expecting \end{cases}. Instead got \end{equation}
Count: 1 | File: antihelium.tex: | string index out of range
Count: 10 | File: colloqfinal.tex: | "document" env expecting \end{document}. Instead got \end{array}
Count: 3 | File: Nf2-arXiv.tex: | "array" env expecting \end{array}. Instead got \end{document}
Count: 1 | File: CDKS_pre.tex: | "thm" env expecting \end{thm}. Instead got \end{array}\
Count: 1 | File: hor_kok_arxiv.tex: | "example" env expecting \end{example}. Instead got \end{document}
Count: 1 | File: paperII.tex: | "center" env expecting \end{center}. Instead got \end{array}
Count: 4 | File: 1st-draft.tex: | "align*" env expecting \end{align*}. Instead got \end{array}\
Count: 7 | File: vary.tex: | "center" env expecting \end{center}. Reached end of file.
Count: 1 | File: kt-it20101.tex: | "document" env expecting \end{document}. Reached end of file.
Count: 1 | File: Laurence5.tex: | "equation" env expecting \end{equation}. Instead got \end{cases}
Count: 3 | File: ICPEAC2011Schippers.tex: | "document" env expecting \end{document}. Instead got \end{equation}
Count: 1 | File: gapless.tex: | "center" env expecting \end{center}. Instead got \end{equation}
Count: 1 | File: paperfinal2.tex: | "center" env expecting \end{center}. Instead got \end{array}\
Count: 3 | File: Renormalization_and_wandering_continua_of_rational_maps.tex: | "proof" env expecting \end{proof}. Instead got \end{document}
Count: 3 | File: severi.tex: | "proof" env expecting \end{proof}. Reached end of file.
Count: 3 | File: Games-PRE-v2.tex: | "document" env expecting \end{document}. Instead got \end{matrix}\
Count: 3 | File: sigma10-055.tex: | "gather" env expecting \end{gather}. Instead got \end{array}\
Count: 3 | File: sno34.tex: | "tabular" env expecting \end{tabular}. Reached end of file.
Count: 3 | File: diffg.tex: | "eqnarray*" env expecting \end{eqnarray*}. Instead got \end{document}
Count: 1 | File: 2198.tex: | "table" env expecting \end{table}. Instead got \end{tabular}
Count: 2 | File: Traffic2.tex: | "align" env expecting \end{align}. Instead got \end{array}
Count: 1 | File: XQLI-manu-0619.tex: | "CJK*" env expecting \end{CJK*}. Instead got \end{array}\
Count: 3 | File: mue.tex: | "abstract" env expecting \end{abstract}. Instead got \end{document}
Count: 1 | File: AR_PSPC_manu_02.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{multicols}
Count: 1 | File: Burgers_Rough.tex: | "equ" env expecting \end{equ}. Instead got \end{array}\
Count: 1 | File: sigma10-084.tex: | "gather*" env expecting \end{gather*}. Instead got \end{matrix};q,z
Count: 1 | File: lcinvd.tex: | "gather*" env expecting \end{gather*}. Instead got \end{tabular}
Count: 1 | File: lanl.11.tex: | "array{}" env expecting \end{array{}}. Reached end of file.
Count: 2 | File: TameOrigamis.tex: | "pmatrix" env expecting \end{pmatrix}. Reached end of file.
Count: 1 | File: ISIT_2011.tex: | "align*" env expecting \end{align*}. Instead got \end{theorem}
Count: 1 | File: helium_11.tex: | "mathletters" env expecting \end{mathletters}. Reached end of file.
Count: 4 | File: Ir-for-submit-v2.tex: | "tabular" env expecting \end{tabular}. Instead got \end{document}
Count: 1 | File: VYSRBs.tex: | Begin command must be followed by an env name.
Count: 1 | File: warming_up_PRD_final.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{tabular}\
Count: 3 | File: nutev_dkhi_prl.tex: | "tabular" env expecting \end{tabular}. Instead got \end{table}
Count: 2 | File: PArticle3.tex: | "trivlist" env expecting \end{trivlist}. Reached end of file.
Count: 1 | File: UFO_Paper.tex: | "split" env expecting \end{split}. Instead got \end{array}\
Count: 1 | File: pol.tex: | 'utf-8' codec can't decode bytes
Count: 1 | File: GMO_v1.tex: | "displaymath" env expecting \end{displaymath}. Reached end of file.
Count: 1 | File: zonal_sphere_EulerOnly_July_2011.tex: | "align" env expecting \end{align}. Instead got \end{lemma}
Count: 1 | File: esop_CoRR.tex: | "tabbing" env expecting \end{tabbing}. Reached end of file.
Count: 1 | File: datacenter_battery_arxiv_v3.tex: | "thebibliography" env expecting \end{thebibliography}. Instead got \end{document}
Count: 1 | File: HD194495_Ne_Ast.tex: | "table" env expecting \end{table}. Instead got \end{document}
Count: 2 | File: blaz_var_elsarticle.tex: | "displaymath" env expecting \end{displaymath}. Instead got \end{document}
Count: 1 | File: Richard-Charm2010.tex: | "figure" env expecting \end{figure}. Instead got \end{minipage}
Count: 1 | File: tr-ctit-10-15.tex: | "tabular" env expecting \end{tabular}. Instead got \end{sffamily}\
Count: 1 | File: sigma10-083.tex: | "gather" env expecting \end{gather}. Instead got \end{array}
Count: 1 | File: abhyankar_inertia_conjecture_final.tex: | "preremark" env expecting \end{preremark}. Reached end of file.
Count: 1 | File: FFT-LB.tex: | "equation" env expecting \end{equation}. Instead got \end{array}l
Count: 1 | File: salman_muite_finel_arxiv.tex: | "itemize" env expecting \end{itemize}. Instead got \end{document}
Count: 1 | File: epal-mechanics.tex: | "filecontents*" env expecting \end{filecontents*}. Instead got \end{filecontents}
Count: 1 | File: om_plb.tex: | 'TexMathEnv' object has no attribute 'find_all'
Count: 1 | File: bazeiaNet.tex: | "subequations" env expecting \end{subequations}. Reached end of file.
Count: 2 | File: framedbmw.tex: | "equation*" env expecting \end{equation*}. Instead got \end{proof}
Count: 1 | File: metastable.tex: | "equation*" env expecting \end{equation*}. Reached end of file.
Count: 1 | File: sigma11-045.tex: | "gather" env expecting \end{gather}. Instead got \end{array}: y_1,
Count: 1 | File: Revise_Arxiv_DD.tex: | "align" env expecting \end{align}. Instead got \end{itemize}
Count: 1 | File: PRAZenoResubmit.tex: | "equation" env expecting \end{equation}. Instead got \end{document}=
Count: 1 | File: TopoEntropy.tex: | "array" env expecting \end{array}. Instead got \end{equation}where sign
Count: 1 | File: pendulum_arxiv.tex: | "equation" env expecting \end{equation}. Instead got \end{split}
Count: 1 | File: quickceSP.tex: | "document" env expecting \end{document}. Instead got \end{theorem}
Count: 1 | File: obzor.tex: | maximum recursion depth exceeded
Count: 1 | File: MZ_arxiv.tex: | "flushright" env expecting \end{flushright}. Reached end of file.
Count: 1 | File: TI-07-12-2011.tex: | "widetext" env expecting \end{widetext}. Instead got \end{gather}
Count: 2 | File: QZE_in_SC_qubit.tex: | "equation" env expecting \end{equation}. Instead got \end{matrix}
Count: 1 | File: ccjz_cagd.tex: | "remark" env expecting \end{remark}. Instead got \end{smallmatrix}\
Count: 1 | File: E-RES.tex: | "prop" env expecting \end{prop}. Reached end of file.
Count: 1 | File: handsaw.tex: | "equation*" env expecting \end{equation*}. Instead got \end{matrix}\
Count: 1 | File: musicv2.tex: | "assumption" env expecting \end{assumption}. Instead got \end{document}
Count: 1 | File: pub-nocomments.tex: | "thebibliography" env expecting \end{thebibliography}. Instead got \end{comment}
Count: 1 | File: NIPS2010_NonlinearInversePowerMethod-final11_supplement-arxiv.tex: | "algorithmic" env expecting \end{algorithmic}. Instead got \end{tabular}\
Count: 1 | File: tsa.tex: | "theo" env expecting \end{theo}. Instead got \end{array}\
Count: 1 | File: PaperBianchiCornaro_Torriero.tex: | "array" env expecting \end{array}. Instead got \end{equation*}
Count: 1 | File: ETQFT-DW.tex: | "varremark" env expecting \end{varremark}. Instead got \end{document}
Count: 1 | File: fsz1.tex: | "enumerate" env expecting \end{enumerate}. Instead got \end{array}
Count: 1 | File: Trea.tex: | "em" env expecting \end{em}. Reached end of file.
Count: 1 | File: weighted_L1_sparse_recovery_revised.tex: | "array" env expecting \end{array}. Instead got \end{rem}
Count: 1 | File: EKS3v7-revised.tex: | "document" env expecting \end{document}. Instead got \end{align}
Count: 1 | File: wmass_eps2001.tex: | "tabular" env expecting \end{tabular}. Instead got \end{minipage}
Count: 1 | File: DAFNELambda_Re.tex: | "filecontents" env expecting \end{filecontents}. Reached end of file.
Count: 1 | File: D5Y.tex: | "tikzpicture" env expecting \end{tikzpicture}. Instead got \end{center}
Count: 1 | File: modCIPTv5.tex: | "tabular" env expecting \end{tabular}. Instead got \end{ruledtabular}
Count: 2 | File: filtroAmmassi_paper_arXiv.tex: | "displaymath" env expecting \end{displaymath}. Instead got \end{array}
Count: 1 | File: exact3new.tex: | "Pro" env expecting \end{Pro}. Instead got \end{document}
Count: 1 | File: MinCTC_final.tex: | "thebibliography" env expecting \end{thebibliography}. Instead got \end{filecontents}
Count: 5 | File: Lifshitz_quantum_criticality.tex: | "equation" env expecting \end{equation}. Instead got \end{matrix}\
Count: 1 | File: kkpi.tex: | "equation" env expecting \end{equation}. Instead got \end{thebibliography}
Count: 1 | File: CMUsfinal.tex: | "multicols" env expecting \end{multicols}. Instead got \end{document}
Count: 1 | File: Spline.tex: | "equation" env expecting \end{equation}. Instead got \end{smallmatrix}\
Count: 1 | File: moss.tex: | "tabular" env expecting \end{tabular}. Instead got \end{table*}
Count: 1 | File: jpsi.tex: | "document" env expecting \end{document}. Instead got \end{eqnarray}
Count: 1 | File: res_4n_2.tex: | "array" env expecting \end{array}. Instead got \end{equation}The angular, spin and isospin dependence of these components is expanded using tripolar
Count: 1 | File: sc_ebhm_v3.tex: | "widetext" env expecting \end{widetext}. Instead got \end{document}
Count: 1 | File: DBIGrapheneV60611.tex: | "scriptsize" env expecting \end{scriptsize}. Instead got \end{array}
Count: 1 | File: 0245799.tex: | "array" env expecting \end{array}. Instead got \end{equation*}and an operation
Count: 1 | File: DualEA_general.tex: | "proposition" env expecting \end{proposition}. Reached end of file.
Count: 1 | File: heiseib.tex: | "document" env expecting \end{document}. Instead got \end{align*}
Count: 1 | File: monom-supp-pdim.tex: | "equation" env expecting \end{equation}. Instead got \end{proof}
Count: 1 | File: KMV2-masures-2012_-7b.tex: | "rema*" env expecting \end{rema*}. Instead got \end{array}\
Count: 1 | File: procesi29-7.tex: | "equation" env expecting \end{equation}. Instead got \end{cases}.
Count: 1 | File: mph11.tex: | "align" env expecting \end{align}. Instead got \end{widetext}
Count: 1 | File: stablelimitlawsarxivrev.tex: | "prop" env expecting \end{prop}. Instead got \end{subsubsection}
Count: 1 | File: isw_mnu_v3.tex: | "align" env expecting \end{align}. Instead got \end{matrix}
Count: 1 | File: NMResponse_short_new.tex: | "split" env expecting \end{split}. Instead got \end{pmatrix}\
Count: 1 | File: BPSsing14b.tex: | "equation" env expecting \end{equation}. Instead got \end{split}\
Count: 1 | File: control_M1.tex: | "equation" env expecting \end{equation}. Instead got \end{theorem}
Count: 1 | File: N1399_GC-LMXB_arXiv.tex: | 'NoneType' object has no attribute 'category'
Count: 1 | File: holeelec4la.tex: | "subequations" env expecting \end{subequations}. Instead got \end{array}
